[ 1/17] celestrak.satcat                    70122 rec  70145d6926eb
[ 2/17] celestrak.gp.active                 16241 rec  687c1f4655f9
[ 3/17] celestrak.gp.weather                   74 rec  2dc5863e3ace
[ 4/17] celestrak.gp.noaa                  FAILED  JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[ 5/17] celestrak.gp.goes                       6 rec  391ef4f81f89
[ 6/17] celestrak.gp.resource                 167 rec  93c35e3dbd6d
[ 7/17] celestrak.gp.sarsat                    83 rec  c0fd33845c27
[ 8/17] celestrak.gp.dmc                        9 rec  899d31039dca
[ 9/17] celestrak.gp.tdrss                     26 rec  c7798e8f2c5a
[10/17] celestrak.gp.argos                     30 rec  cd14b631d0e2
[11/17] celestrak.gp.science                   49 rec  d704924b6d08
[12/17] celestrak.gp.geodetic                  10 rec  dc5150fcbc8f
[13/17] celestrak.gp.engineering               37 rec  b055d0179645
[14/17] celestrak.gp.education                  6 rec  f42a7966eec2
[15/17] celestrak.gp.stations                  24 rec  585462e98655
[16/17] celestrak.gp.planet                   123 rec  a54ef8b0d653
[17/17] celestrak.gp.spire                     73 rec  e6cd7a106873

sources=16 failures=1
